Country,Official Name,Region,Subregion,Capital,Population,Area (km²),Currencies,Languages,Timezones,Independent
Syria,Syrian Arab Republic,Asia,Western Asia,Damascus,25620000,185180.0,Syrian pound (SYP),Arabic,UTC+02:00,True
Burkina Faso,Burkina Faso,Africa,Western Africa,Ouagadougou,24070553,272967.0,West African CFA franc (XOF),French,UTC,True
Taiwan,Republic of China (Taiwan),Asia,Eastern Asia,Taipei,23317031,36197.0,New Taiwan dollar (TWD),Chinese,UTC+08:00,False
Mali,Republic of Mali,Africa,Western Africa,Bamako,22395489,1240192.0,West African CFA franc (XOF),French,UTC,True
Sri Lanka,Democratic Socialist Republic of Sri Lanka,Asia,Southern Asia,Sri Jayawardenepura Kotte,21763170,65610.0,Sri Lankan rupee (LKR),"Sinhala, Tamil",UTC+05:30,True
Malawi,Republic of Malawi,Africa,Eastern Africa,Lilongwe,20734262,118484.0,Malawian kwacha (MWK),"Chewa, English",UTC+02:00,True
Kazakhstan,Republic of Kazakhstan,Asia,Central Asia,Astana,20426568,2724900.0,Kazakhstani tenge (KZT),"Kazakh, Russian","UTC+05:00, UTC+06:00",True
Chile,Republic of Chile,Americas,South America,Santiago,20206953,756102.0,Chilean peso (CLP),Spanish,"UTC-06:00, UTC-04:00",True
Zambia,Republic of Zambia,Africa,Eastern Africa,Lusaka,19693423,752612.0,Zambian kwacha (ZMW),English,UTC+02:00,True
Somalia,Federal Republic of Somalia,Africa,Eastern Africa,Mogadishu,19655000,637657.0,Somali shilling (SOS),"Arabic, Somali",UTC+03:00,True
Chad,Republic of Chad,Africa,Middle Africa,N'Djamena,19340757,1284000.0,Central African CFA franc (XAF),"Arabic, French",UTC+01:00,True
Romania,Romania,Europe,Southeast Europe,Bucharest,19036031,238391.0,Romanian leu (RON),Romanian,UTC+02:00,True
Senegal,Republic of Senegal,Africa,Western Africa,Dakar,18593258,196722.0,West African CFA franc (XOF),French,UTC,True
Ecuador,Republic of Ecuador,Americas,South America,Quito,18103660,276841.0,United States dollar (USD),Spanish,"UTC-06:00, UTC-05:00",True
Netherlands,Kingdom of the Netherlands,Europe,Western Europe,Amsterdam,18100436,41865.0,euro (EUR),Dutch,UTC+01:00,True
